time,populationID,neuronID,eventType
0.523,94380434041520,0,2
0.523,94380434042256,0,2
0.523,94380434043024,0,2
0.523,94380434043712,0,2
0.523,94380434044400,0,2
0.523,94380434045232,0,2
0.523,94380434045984,0,2
0.524,94380434039328,0,2
0.524,94380434038688,0,2
0.524,94380434040112,0,2
0.524,94380434040848,0,2
0.524,94380434041520,0,2
0.524,94380434042256,0,2
0.524,94380434043024,0,2
0.524,94380434043712,0,2
0.524,94380434044400,0,2
0.524,94380434045232,0,2
0.524,94380434045984,0,2
0.525,94380434039328,0,2
0.525,94380434038688,0,2
0.525,94380434040112,0,2
0.525,94380434040848,0,2
0.525,94380434041520,0,2
0.525,94380434042256,0,2
0.525,94380434043024,0,2
0.525,94380434043712,0,2
0.525,94380434044400,0,2
0.525,94380434045232,0,2
0.525,94380434045984,0,2
0.526,94380434039328,0,2
0.526,94380434038688,0,2
0.526,94380434040112,0,2
0.526,94380434040848,0,2
0.526,94380434041520,0,2
0.526,94380434042256,0,2
0.526,94380434043024,0,2
0.526,94380434043712,0,2
0.526,94380434044400,0,2
0.526,94380434045232,0,2
0.526,94380434045984,0,2
0.527,94380434039328,0,2
0.527,94380434038688,0,2
0.527,94380434040112,0,2
0.527,94380434040848,0,2
0.527,94380434041520,0,2
0.527,94380434042256,0,2
0.527,94380434043024,0,2
0.527,94380434043712,0,2
0.527,94380434044400,0,2
0.527,94380434045232,0,2
0.527,94380434045984,0,2
0.528,94380434039328,0,2
0.528,94380434038688,0,2
0.528,94380434040112,0,2
0.528,94380434040848,0,2
0.528,94380434041520,0,2
0.528,94380434042256,0,2
0.528,94380434043024,0,2
0.528,94380434043712,0,2
0.528,94380434044400,0,2
0.528,94380434045232,0,2
0.528,94380434045984,0,2
0.529,94380434039328,0,2
0.529,94380434038688,0,2
0.529,94380434040112,0,2
0.529,94380434040848,0,2
0.529,94380434041520,0,2
0.529,94380434042256,0,2
0.529,94380434043024,0,2
0.529,94380434043712,0,2
0.529,94380434044400,0,2
0.529,94380434045232,0,2
0.529,94380434045984,0,2
0.53,94380434039328,0,2
0.53,94380434038688,0,2
0.53,94380434040112,0,2
0.53,94380434040848,0,2
0.53,94380434041520,0,2
0.53,94380434042256,0,2
0.53,94380434043024,0,2
0.53,94380434043712,0,2
0.53,94380434044400,0,2
0.53,94380434045232,0,0
