time,populationID,neuronID,valueType,value
0.114,94651192725616,0,3,0.480937
0.115,999,0,3,0.553254
0.115,94651192721968,0,3,0.0480566
0.115,94651192725616,0,3,0.486447
0.116,999,0,3,0.554386
0.116,94651192721968,0,3,0.0486063
0.116,94651192725616,0,3,0.489435
0.117,999,0,3,0.55509
0.117,94651192721968,0,3,0.0489044
0.117,94651192725616,0,3,0.499809
0.118,999,0,3,0.55535
0.118,94651192721968,0,3,0.0499393
0.118,94651192725616,0,3,0.501413
0.119,999,0,3,0.555154
0.119,94651192721968,0,3,0.0500993
0.119,94651192725616,0,3,0.504289
0.12,999,0,3,0.554491
0.12,94651192721968,0,3,0.0503862
0.12,94651192725616,0,3,0.500197
0.121,999,0,3,0.553351
0.121,94651192721968,0,3,0.049978
0.121,94651192725616,0,3,0.510397
0.122,999,0,3,0.551729
0.122,94651192721968,0,3,0.0509954
0.122,94651192725616,0,3,0.520991
0.123,999,0,3,0.54962
0.123,94651192721968,0,3,0.052052
0.123,94651192725616,0,3,0.51804
0.124,999,0,3,0.547022
0.124,94651192721968,0,3,0.0517577
0.124,94651192725616,0,3,0.524934
0.125,999,0,3,0.543934
0.125,94651192721968,0,3,0.0524452
0.125,94651192725616,0,3,0.530799
0.126,999,0,3,0.540359
0.126,94651192721968,0,3,0.0530301
0.126,94651192725616,0,3,0.54302
0.127,999,0,3,0.536301
0.127,94651192721968,0,3,0.0542487
0.127,94651192725616,0,3,0.53954
0.128,999,0,3,0.531766
0.128,94651192721968,0,3,0.0539017
0.128,94651192725616,0,3,0.551761
0.129,999,0,3,0.526764
0.129,94651192721968,0,3,0.0551202
0.129,94651192725616,0,3,0.547426
0.13,999,0,3,0.521306
0.13,94651192721968,0,3,0.054688
0.13,94651192725616,0,3,0.558019
0.131,999,0,3,0.515404
0.131,94651192721968,0,3,0.0557441
0.131,94651192725616,0,3,0.561644
0.132,999,0,3,0.509075
0.132,94651192721968,0,3,0.0561054
0.132,94651192725616,0,3,0.565905
0.133,999,0,3,0.502335
0.133,94651192721968,0,3,0.0565302
0.133,94651192725616,0,3,0.560185
0.134,999,0,3,0.495203
0.134,94651192721968,0,3,0.05596
0.134,94651192725616,0,3,0.568145
0.135,999,0,3,0.487702
0.135,94651192721968,0,3,0.0567534
0.135,94651192725616,0,3,0.568145
0.136,999,0,3,0.479853
0.136,94651192721968,0,3,0.0567534
0.136,94651192725616,0,3,0.568145
0.137,999,0,3,0.471682
0.137,94651192721968,0,3,0.0567534
0.137,94651192725616,0,3,0.568145
0.138,999,0,3,0.463216
0.138,94651192721968,0,3,0.0567534
0.138,94651192725616,0,3,0.568145
0.139,999,0,3,0.454481
0.139,94651192721968,0,3,0.0567534
